,No.,Project,Status,Lead CPHC,Builder,Location,Const. type,Bldg. function,Floor area,Project type,Unnamed: 10,date,year,month,state,city
360,1461,Contemporary Ocean View PEI,Certified,Natalie Leonard,Warren's Carpentry,"Summerside , PE",Timber,Single Family,2568,New Construction,,"['March', '27,', '2019']",2019,March,PE,Summerside
361,1462,1004 Woodland Park Circle - CreekView Apartments at Woodland Park,Certified,James Moriarty,DiMarco Constructors LLC,"Canandaigua, NY",Timber,Multifamily,9274,New Construction,,"['August', '21,', '2019']",2019,August,NY,Canandaigua
362,1468,Tierra Linda,Certified,Lisa White,Linn-Mathes Construction,"Chicago, IL",Timber,Multifamily,8596,New Construction,,"['April', '17,', '2019']",2019,April,IL,Chicago
363,1470,1005 Woodland Park Circle - CreekView Apartments at Woodland Park,Certified,James Moriarty,DiMarco Constructors LLC,"Canandaigua, NY",Timber,Multifamily,6990,New Construction,,"['September', '13,', '2019']",2019,September,NY,Canandaigua
364,1471,1006 Woodland Park Circle - CreekView Apartments at Woodland Park,Certified,James Moriarty,DiMarco Constructors LLC,"Canandaigua, NY",Timber,Multifamily,9274,New Construction,,"['September', '13,', '2019']",2019,September,NY,Canandaigua
365,1472,1007 Woodland Park Circle - CreekView Apartments at Woodland Park,Certified,James Moriarty,DiMarco Constructors LLC,"Canandaigua, NY",Timber,Multifamily,6990,New Construction,,"['September', '13,', '2019']",2019,September,NY,Canandaigua
366,1473,3000 Creekview Drive - CreekView Apartments at Woodland Park,Certified,James Moriarty,DiMarco Constructors LLC,"Canandaigua, NY",Timber,Multifamily,9274,New Construction,,"['September', '13,', '2019']",2019,September,NY,Canandaigua
367,1474,1009 Woodland Park Circle - CreekView Apartments at Woodland Park,Certified,James Moriarty,DiMarco Constructors LLC,"Canandaigua, NY",Timber,Multifamily,6990,New Construction,,"['September', '13,', '2019']",2019,September,NY,Canandaigua
368,1475,1011 Woodland Park Circle - CreekView Apartments at Woodland Park,Certified,James Moriarty,DiMarco Constructors LLC,"Canandaigua, NY",Timber,Multifamily,6990,New Construction,,"['September', '13,', '2019']",2019,September,NY,Canandaigua
369,1476,3001 CreekView Drive - CreekView Apartments at Woodland Park,Certified,,DiMarco Constructors LLC,"Canandaigua, NY",Timber,Multifamily,5904,New Construction,,"['September', '13,', '2019']",2019,September,NY,Canandaigua
