,No.,Project,Status,Lead CPHC,Builder,Location,Const. type,Bldg. function,Floor area,Project type,Unnamed: 10,date,year,month,state,city
80,1500,Harrison Street Infill,Pre-certified,Robin McGrew,"AllenBuilt, Inc.","Washington, DC",Mixed timber-masonry,Single Family,3650,New Construction,,[],,,DC,Washington
81,1502,VanDercreek Residence,Pre-certified,Tom Bassett-Dilley,,"Lake Bluff, IL",Timber,Single Family,,New Construction,,[],,,IL,Lake Bluff
82,1504,Yannell Passive House,Pre-certified,Scott Farbman,,"Chicago, IL",,Single Family,3513,Retrofit,,[],,,IL,Chicago
83,1511,Williams College Garfield House,Pre-certified,Elsa Mullin,,"Williamstown, MA",Mixed timber-masonry,Multifamily,17755,New Construction,,[],,,MA,Williamstown
84,1533,Habitat for Humanity Columbia County - Ancramdale,Pre-certified,Carmel Pratt,Habitat for Humanity Columbia County,"Ancramdale, NY",Timber,Multifamily,2788,New Construction,,[],,,NY,Ancramdale
85,1517,Cary Senior Living,Pre-certified,Prudence Ferreira,,"Cary, IL",Timber,Multifamily,62173,New Construction,,[],,,IL,Cary
86,1520,Bertucci Pfundt Residence,Pre-certified,Maren Longhurst,Cameron Rippy,"Spokane, WA",,Single Family,2224,New Construction,,[],,,WA,Spokane
87,1526,North Miller Passive Multifamily,Pre-certified,,Urban Myth Construction - Michael Robinson,"Newburgh, NY",Mixed timber-masonry,Multifamily,2354,Retrofit,,[],,,NY,Newburgh
88,1530,Chisca-Polonski House,Pre-certified,,"Metro Green, LLC","Falls Church, VA",Timber,Single Family,3361,New Construction,,[],,,VA,Falls Church
89,1532,Front Flats,Pre-certified,,Jig Inc.,"Philadelphia, PA",Timber,Multifamily,15589,New Construction,,[],,,PA,Philadelphia
90,1534,Minkoff Residence,Pre-certified,Richard Pedranti  Michelle Sangster,,"Spring Brook Township, PA",Timber,Single Family,1267,New Construction,,[],,,PA,Spring Brook Township
91,1537,Uptown Passive House Apartments,Pre-certified,,Cascade Built,"Seattle, WA",,Multifamily,31636,New Construction,,[],,,WA,Seattle
92,1543,Pioneer Apartments,Pre-certified,,,"New Kensington, PA",,Multifamily,43465,New Construction,,[],,,PA,New Kensington
93,1545,Chestnut Commons,Pre-certified,Ayse Sen,,"Brooklyn , NY",Masonry,Mixed-Use,237055,New Construction,,[],,,NY,Brooklyn
94,1546,Sol Bakke,Pre-certified,Stuart Fix,Butterwick Construction,"Onoway, AB",Insulated concrete forms,Single Family,3108,New Construction,,[],,,AB,Onoway
95,1550,Meadows two,Pre-certified,Michal Kaleta,Allied Cook,"Hampton Falls , NH",Timber,Multifamily,20290,New Construction,,[],,,NH,Hampton Falls
96,1551,Park Row Residences - Bowdoin College - Building 2,Pre-certified,Colin Schless  Elsa Mullin,,"Brunswick , ME",,Multifamily,12044,New Construction,,[],,,ME,Brunswick
97,1552,Squirrelwood - Building L,Pre-certified,Maciej Konieczny,,"Cambridge, MA",Timber,Multifamily,13400,New Construction,,[],,,MA,Cambridge
98,1555,Knockadoon,Pre-certified,"Susan Karczag, AIA Assoc.","Nugent Builders, INC","Rockford, MI",Timber,Single Family,2965,New Construction,,[],,,MI,Rockford
99,1560,Liberty 52: Stephen F. Gold Community Residences,Pre-certified,David Salamon,,"Philadelphia, PA",Mixed timber-masonry,Multifamily,23318,New Construction,,[],,,PA,Philadelphia
100,1562,Ross Drive Passive House,Pre-certified,John Semmelhack,,"Vienna, VA",,,,,,[],,,VA,Vienna
101,1563,Cherry Orchard Place,Pre-certified,John Semmelhack,,"Susquehanna Township, PA",,Multifamily,45235,New Construction,,[],,,PA,Susquehanna Township
102,1565,Mauhaus,Pre-certified,,Birdsmouth,"Hillsboro, OR",Timber,Single Family,1227,New Construction,,[],,,OR,Hillsboro
103,1566,Susie Clemens,Pre-certified,David Berger,,"Hatfield, PA",Mixed timber-masonry,Multifamily,57137,New Construction,,[],,,PA,Hatfield
104,1567,The Whisper House,Pre-certified,John Semmelhack,Idea Broker & Walters Group,"Barnegate, NJ",,Single Family,2000,New Construction,,[],,,NJ,Barnegate
105,1569,Iowa City NEST,Pre-certified,Sanyog Rathod,Oak Tree Homes,"Iowa city, IA",Timber,Single Family,1571,New Construction,,[],,,IA,Iowa city
106,1571,Balanced Builders Passive Office,Pre-certified,John Loercher,Balanced Builders,"Newburgh, NY",Mixed timber-masonry,Commercial,972,Retrofit,,[],,,NY,Newburgh
107,1572,Pipsqueak,Pre-certified,Thomas Candee,Domain LLC,"Salt Lake City, UT",Timber,Single Family,1738,New Construction,,[],,,UT,Salt Lake City
108,1573,Stone Ridge - Building A,Pre-certified,John Semmelhack  Sanyog Rathod,Woda Group,"Springettbury, PA",Timber,Single Family,18472,New Construction,,[],,,PA,Springettbury
109,1581,Willrett Residence,Pre-certified,,,"Bandon, OR",,Single Family,1847,New Construction,,[],,,OR,Bandon
110,1582,Rolling Bay Passive,Pre-certified,Randy Foster  Skylar Swinford,,"Bainbridge Island, WA",Timber,Multifamily,2342,New Construction,,[],,,WA,Bainbridge Island
111,1589,Mapes Apartments,Pre-certified,David Berger,,"Bronx, NY",Masonry,Multifamily,29879,New Construction,,[],,,NY,Bronx
112,1590,Cyrus House,Pre-certified,David Berger,,"Bronx, NY",Masonry,Multifamily,46912,New Construction,,[],,,NY,Bronx
113,1591,Larson Passive House,Pre-certified,Michael Nolan,Oak Tree Homes,"Indianola, IA",Timber,Single Family,2112,New Construction,,[],,,IA,Indianola
114,1592,4 Ward Place,Pre-certified,Russell Ley,Ed Nugent,"Ossining, NY",Timber,Single Family,3064,Retrofit,,[],,,NY,Ossining
115,1594,Indwell Parkdale & Melvin Redevelopment - PH2,Pre-certified,,Schilthuis Construction Inc.,"Hamilton, ON",Timber,Multifamily,2941,New Construction,,[],,,ON,Hamilton
116,1597,Hozho House,Pre-certified,Dale Babcock,Andra Robinson,"Saugatuck Township, MI",,Single Family,3386,New Construction,,[],,,MI,Saugatuck Township
117,1598,Ames Hill Passive,Pre-certified,Christopher Clarke Miksic,https://www.matheshulmebuilders.com/,"Marlboro, VT",Timber,Single Family,1784,New Construction,,[],,,VT,Marlboro
118,1604,Stonebridge Senior Housing Phase 2,Pre-certified,John Semmelhack,,"State College, PA",Timber,Multifamily,55698,New Construction,,[],,,PA,State College
119,1605,Saltbox House,Pre-certified,Sarah Cobb,Rocket Construction Inc.,"Bromont, QC",Timber,Single Family,2472,New Construction,,[],,,QC,Bromont
120,1606,Finch Cambridge,Pre-certified,Ian Johnson,NEI Contracting,"Cambridge, MA",,Multifamily,101024,New Construction,,[],,,MA,Cambridge
121,1613,Gull Lake Net Zero Passive House,Pre-certified,Mark Miller,Abueva Builders LLC,"Richland, MI",Timber,Single Family,2333,New Construction,,[],,,MI,Richland
122,1620,Woodlawn Senior Living,Pre-certified,Jordan Goldman,,"Bronx, NY",Masonry,Multifamily,47005,New Construction,,[],,,NY,Bronx
123,1628,Carroll Center Addition/Renovation,Pre-certified,Tom Bassett-Dilley,,"Oak Park, IL",Masonry,School,7667,Addition,,[],,,IL,Oak Park
124,1630,Silvergreen,Pre-certified,David Salamon  Shannon Pendleton,Custom Residential Construction / Hugh Lofting High Performance Homes,"Bryn Athyn, PA",Mixed timber-masonry,Multifamily,8456,New Construction,,[],,,PA,Bryn Athyn
125,1633,Northbrook Park District Activity Center,Pre-certified,,,"Northbrook, IL",Insulated concrete forms,Commercial,44048,New Construction,,[],,,IL,Northbrook
126,1636,Maple Corner Passive House,Pre-certified,Christopher Clarke Miksic  Matthew Lutz,Montpelier Construction,"Calais, VT",Timber,Single Family,1288,New Construction,,[],,,VT,Calais
127,1638,Spice Residence,Pre-certified,"Michael Klement, AIA  Alex Jackson",Dana Miller Building Solutions,"Middlebury , IN",,Single Family,2104,New Construction,,[],,,IN,Middlebury
128,1639,3707-23 Melon Street,Pre-certified,Jonathan Chizacky,"WP Construction, LLC","Philadelphia, PA",Timber,Multifamily,8958,New Construction,,[],,,PA,Philadelphia
129,1640,3714-22 Melon Street,Pre-certified,Jonathan Chizacky,"WP Construction, LLC","Philadelphia, PA",Timber,Multifamily,6926,New Construction,,[],,,PA,Philadelphia
130,1641,3729-39 Melon Street,Pre-certified,Jonathan Chizacky,"WP Construction, LLC","Philadelphia, PA",Timber,Mixed-Use,6591,New Construction,,[],,,PA,Philadelphia
131,1642,3810 Melon Street,Pre-certified,Jonathan Chizacky,"WP Construction, LLC","Philadelphia, PA",Timber,Single Family,989,New Construction,,[],,,PA,Philadelphia
132,1643,3836 Melon Street,Pre-certified,Jonathan Chizacky,"WP Construction, LLC","Philadelphia, PA",Timber,Single Family,1010,New Construction,,[],,,PA,Philadelphia
133,1644,3844-46 Melon Street,Pre-certified,Jonathan Chizacky,"WP Construction, LLC","Philadelphia, PA",Timber,Multifamily,2193,New Construction,,[],,,PA,Philadelphia
134,1648,Red Clay Creek,Pre-certified,Ilka Cassidy,Hugh Lofting High Performance Building/ Holzraum System LLC,"Kennett Square, PA",Timber,Single Family,2898,New Construction,,[],,,PA,Kennett Square
135,1659,ABC No Rio,Pre-certified,Jordan Goldman,,"New York, NY",Masonry,Commercial,7696,New Construction,,[],,,NY,New York
136,1670,Maggio Residence,Pre-certified,Tom Bassett-Dilley,Acts Construction,"Wheatland, WI",Insulated concrete forms,Single Family,3531,New Construction,,[],,,WI,Wheatland
137,1676,Park View School Renovation,Pre-certified,Tom Boeman,,"Mt Prospect, IL",Masonry,School,27930,Retrofit,,[],,,IL,Mt Prospect
138,1678,Stone Ridge Building B,Pre-certified,John Semmelhack  Sanyog Rathod,,"Springettsbury, PA",,Multifamily,18508,New Construction,,[],,,PA,Springettsbury
139,1681,Timberhill,Pre-certified,"Susan Karczag, AIA Assoc.  Michael Klement, AIA",Adaptive Building Solutions,"Manchester, MI",Mixed timber-masonry,Single Family,2620,New Construction,,[],,,MI,Manchester
140,1719,Park Row Residences - Bowdoin College - Building 1,Pre-certified,Colin Schless  Elsa Mullin,,"Brunswick , ME",,Multifamily,11651,New Construction,,[],,,ME,Brunswick
141,1720,Park Row Residences - Bowdoin College - Building 3,Pre-certified,Colin Schless  Elsa Mullin,,"Brunswick , ME",,Multifamily,11651,New Construction,,[],,,ME,Brunswick
142,1721,Park Row Residences - Bowdoin College - Building 4,Pre-certified,Colin Schless  Elsa Mullin,,"Brunswick , ME",,Multifamily,11651,New Construction,,[],,,ME,Brunswick
143,1728,Emerald Hills Retirement Residence,Pre-certified,Craig Stevenson,Sota Construction Services,"Verona, PA",Mixed timber-masonry,Multifamily,55107,New Construction,,[],,,PA,Verona
144,1015,Breezeway House,Certified,David Brach,,"Salt Lake City, UT",Timber,Single Family,2778,New Construction,,"['January', '1,', '2012']",2012,January,UT,Salt Lake City
145,1013,Corehaus,Certified,Robert Hawthorne,"PDX Living, LLC","Portland, OR",Mixed timber-masonry,Single Family,1175,New Construction,,"['January', '1,', '2012']",2012,January,OR,Portland
146,1010,Zero Cottage,Certified,Prudence Ferreira,Jon Landon,"San Francisco, CA",Timber,Single Family,1044,New Construction,,"['April', '16,', '2013']",2013,April,CA,San Francisco
147,1066,EcoCor House,Certified,,EcoCor Design/Build,"Knox, ME",Timber,Single Family,1140,New Construction,,"['October', '31,', '2012']",2012,October,ME,Knox
148,1016,Rue-Evans House,Certified,Blake Bilyeu,Bilyeu Homes Inc.,"Salem, OR",Timber,Single Family,1567,New Construction,,"['January', '1,', '2012']",2012,January,OR,Salem
149,1017,Kenmore Road,Certified,Chris Senior,AnchorageBuildingCorp.com,"Chapel Hill, NC",Insulated concrete forms,Single Family,2062,New Construction,,"['January', '1,', '2012']",2012,January,NC,Chapel Hill
150,1018,the G?�O Home!,Certified,,G O Logic,"Belfast, ME",Timber,Single Family,1143,New Construction,,"['January', '1,', '2012']",2012,January,ME,Belfast
151,1019,"Center for Energy Efficient Design (CEED), Franklin County Public Schools",Certified,Adam Cohen,Structures Design/Build LLC,"Rocky Mount, VA",Timber,School,3053,New Construction,,"['January', '1,', '2012']",2012,January,VA,Rocky Mount
152,1021,Prescott Passive House,Certified,Ryan Abendroth,Studio 804 - Kansas University,"Kansas City, KS",Timber,Single Family,1725,New Construction,,"['January', '1,', '2012']",2012,January,KS,Kansas City
153,1022,Gable Home - Illinois - US DOE'S 2009 Solar Decathlon,Certified,Ryan Abendroth,University of Illinois,"Champaign, IL",Timber,Single Family,506,New Construction,,"['January', '1,', '2012']",2012,January,IL,Champaign
154,1023,"Habitat for Humanity, Charlotte, Vermont",Certified,J.B. Clancy,Green Mountain Habitat for Humanity,"Charlotte , VT",Timber,Single Family,1487,New Construction,,"['January', '1,', '2012']",2012,January,VT,Charlotte
155,1024,Hudson Passive Project,Certified,,Bill Stratton Building,"Hudson, NY",Timber,Single Family,1567,New Construction,,"['January', '1,', '2012']",2012,January,NY,Hudson
156,1025,Beaton Residence,Certified,Paul W Panish,Beaton Construction,"Shrewsbury, MA",Timber,Single Family,3184,New Construction,,"['January', '1,', '2012']",2012,January,MA,Shrewsbury
157,1026,O'Neill Residence Remodel/Retrofit,Certified,Graham Irwin,PassivWorks,"Sonoma, CA",Timber,Single Family,2055,Retrofit,,"['January', '1,', '2012']",2012,January,CA,Sonoma
158,1027,Falmouth,Certified,Mike Duclos,,"Falmouth, MA",Timber,Single Family,1353,New Construction,,"['January', '1,', '2012']",2012,January,MA,Falmouth
159,1028,Fairview I,Certified,Katrin Klingenberg,Mike Kernagis,"Urbana, IL",Timber,Single Family,1242,New Construction,,"['September', '1,', '2011']",2011,September,IL,Urbana
160,1029,Fairview II,Certified,Katrin Klingenberg,Mike Kernagis / Tim Gibbs,"Urbana, IL",Timber,Single Family,1242,New Construction,,"['September', '1,', '2011']",2011,September,IL,Urbana
161,1030,Smith House,Certified,Katrin Klingenberg,Katrin Klingenberg and Ed Sindelar,"Urbana, IL",Timber,Single Family,1216,New Construction,,"['September', '1,', '2011']",2011,September,IL,Urbana
162,1032,Stanton Residence,Certified,Katrin Klingenberg,Darcy Bean Construction / Mike Kernagis,"Urbana, IL",Timber,Single Family,2258,New Construction,,"['January', '1,', '2012']",2012,January,IL,Urbana
163,1033,Zadeh Residence,Certified,Keihly Moore,,"St. Joseph, IL",Timber,Single Family,2655,New Construction,,"['September', '1,', '2011']",2011,September,IL,St. Joseph
164,1034,Washington Street,Certified,Katrin Klingenberg,,"Urbana, IL",Timber,Single Family,959,New Construction,,"['September', '1,', '2011']",2011,September,IL,Urbana
165,1035,Dublin PH,Certified,Katrin Klingenberg,,"Urbana, IL",Timber,Single Family,1043,New Construction,,"['September', '1,', '2011']",2011,September,IL,Urbana
166,1036,Cleveland Farm,Certified,Katrin Klingenberg,,MA,Timber,Single Family,,New Construction,,"['January', '1,', '2012']",2012,January,MA,MA
167,1037,Isabella Lake House,Certified,,,"Isabella, MN",Timber,Single Family,2134,New Construction,,"['January', '1,', '2012']",2012,January,MN,Isabella
168,1038,Louisiana PH,Certified,Katrin Klingenberg,,"Lafayette, LA",Timber,Single Family,895,New Construction,,"['January', '1,', '2012']",2012,January,LA,Lafayette
169,1039,Konkol Passive House,Certified,Tim Eian,,"Hudson, WI",Insulated concrete forms,Single Family,1770,New Construction,,"['January', '1,', '2012']",2012,January,WI,Hudson
170,1042,Lankford House,Certified,John Semmelhack,Jobes Builders,"Charlottesville, VA",Timber,Single Family,1713,New Construction,,"['January', '1,', '2012']",2012,January,VA,Charlottesville
171,1043,New American Foursquare,Certified,David Peabody,"O'Neill Development, Inc.","Bethesda, MD",Mixed timber-masonry,Single Family,3674,New Construction,,"['January', '1,', '2012']",2012,January,MD,Bethesda
172,1045,Branch's Bend,Certified,John Essig,Mitchell Custom Homes,"Onancock, VA",Timber,Single Family,4538,New Construction,,"['January', '1,', '2012']",2012,January,VA,Onancock
173,1046,Omega Institute for Holistic Studies - Women's Leadership Center,Certified,Stephanie Bassler,,"Rhinebeck, NY",Timber,Commercial,1422,New Construction,,"['January', '1,', '2012']",2012,January,NY,Rhinebeck
174,1047,Ruby House,Certified,David Brach,Benchmark,"Salt Lake City, UT",Timber,Single Family,2714,New Construction,,"['March', '27,', '2013']",2013,March,UT,Salt Lake City
175,1048,"3226 S. US Hwy. 25W, Williamsburg, KY",Certified,Michael Hughes,Southern Tier Housing Corporation,"Williamsburg, KY",Timber,Single Family,1094,New Construction,,"['December', '1,', '2012']",2012,December,KY,Williamsburg
176,1049,Karuna House,Certified,Dylan Lamar,Hammer and Hand,"Newberg, OR",Mixed timber-masonry,Single Family,3261,New Construction,,"['August', '12,', '2013']",2013,August,OR,Newberg
177,1052,Green Gulch Zen Center Dormitory,Certified,Graham Irwin,Sawyer Construction,"Muir Beach, CA",Timber,Multifamily,2430,New Construction,,"['June', '13,', '2012']",2012,June,CA,Muir Beach
178,1053,Huff ~ Collins Residence,Certified,Adam Cohen,"Strucutres Design/Build, LLC","Ironto, VA",Timber,Single Family,1752,New Construction,,"['September', '20,', '2012']",2012,September,VA,Ironto
179,1054,Moskowitz,Certified,Christine Liaukus  Malka Van Bemmelen,"Westchester Modular Homes, Inc. and Big Sky Custom Homes LLC","Teaneck, NJ",Timber,Single Family,2925,New Construction,,"['June', '7,', '2016']",2016,June,NJ,Teaneck
180,1055,1206 Lemon,Certified,Katy Hollbacher,"Clarum Homes (John Suppes & Sean Misskelley, CPHCs)","Menlo Park, CA",Timber,Single Family,2968,New Construction,,"['January', '1,', '2012']",2012,January,CA,Menlo Park
181,1056,Wallace Homestead,Certified,Jesse Thompson,Structures DesignBuild,"Stuart, VA",Mixed timber-masonry,Single Family,3031,New Construction,,"['February', '1,', '2013']",2013,February,VA,Stuart
182,1058,Orchard Street Passive House,Certified,Win Swafford  Jan Fillinger,Ecobuilding Collaborative of Oregon,"Eugene, OR",Timber,Single Family,1137,New Construction,,"['October', '12,', '2016']",2016,October,OR,Eugene
183,1059,Jackman Residence,Certified,Peter Schneider,Donald P. Blake Jr. Inc.,"Stowe, VT",Timber,Single Family,3351,New Construction,,"['February', '5,', '2012']",2012,February,VT,Stowe
184,1065,Terrahaus,Certified,Svea Vera Tullberg,Gï¿½O Logic,"Unity, ME",Timber,Single Family,1560,New Construction,,"['May', '11,', '2012']",2012,May,ME,Unity
185,1068,TrekHaus,Certified,Robert Hawthorne,"PDX Living, LLC","Portland, OR",Timber,Multifamily,2370,New Construction,,"['May', '21,', '2012']",2012,May,OR,Portland
186,1069,Glasswood,Certified,Skylar Swinford,Hammer and Hand,"Portland, OR",Timber,Commercial,1397,Retrofit,,"['December', '1,', '2012']",2012,December,OR,Portland
187,1107,02Haus,Certified,Robert Hawthorne,"PDX Living, LLC","Portland, OR",Timber,Multifamily,2712,New Construction,,"['January', '14,', '2014']",2014,January,OR,Portland
188,1070,Cottle ZEH,Certified,Allen Gilliland,One Sky Homes,"San Jose, CA",Timber,Single Family,2776,New Construction,,"['February', '16,', '2012']",2012,February,CA,San Jose
189,1071,First Yellow Springs Passive House,Certified,Eric Lang,Green Generation Building Company,"Yellow Springs, OH",Timber,Single Family,1748,New Construction,,"['November', '26,', '2013']",2013,November,OH,Yellow Springs
190,1074,Clarke Residence,Certified,Chris Senior,AnchorageBuildingCorp.com,"Pittsboro, NC",Insulated concrete forms,Single Family,3961,New Construction,,"['December', '1,', '2012']",2012,December,NC,Pittsboro
191,1075,Lema Residence,Certified,Tom Bassett-Dilley,"Brandon Weiss, Weiss Building and Development, and Eric Barton, Biltmore Insulated Concrete","River Forest, IL",Insulated concrete forms,Single Family,3598,New Construction,,"['April', '4,', '2013']",2013,April,IL,River Forest
192,1076,Habitat for Humanity of Madison & Clark Counties Passive House,Certified,Ginger Watkins,Habitat for Humanity of Madison & Clark Counties,"Berea, KY",Timber,Single Family,970,New Construction,,"['July', '30,', '2012']",2012,July,KY,Berea
193,1079,Thesen-Kramer Residence,Certified,Dan Johnson,"Josh Moore, Red Company","Palo Alto, CA",Timber,Single Family,2043,New Construction,,"['May', '25,', '2012']",2012,May,CA,Palo Alto
194,1085,Gaddy Residence,Certified,Michael Hindle,Maryland Custom Builders Inc.,"Clarksville, MD",Timber,Single Family,1778,New Construction,,"['June', '1,', '2018']",2018,June,MD,Clarksville
195,1084,Hawkins House,Certified,Natalie Leonard,Leonard Construction,"Hubley, NS",Timber,Single Family,1644,New Construction,,"['September', '20,', '2012']",2012,September,NS,Hubley
196,1086,Heidelberg Passive House,Certified,Michael Whartnaby,TBI Contracting,"Heidelberg, PA",Timber,Single Family,1739,New Construction,,"['December', '1,', '2012']",2012,December,PA,Heidelberg
197,1087,Coulter Residence,Certified,Chris Senior,AnchorageBuildingCorp.com,"Chapel Hill, NC",Insulated concrete forms,Single Family,1867,New Construction,,"['December', '1,', '2012']",2012,December,NC,Chapel Hill
198,1088,"99 Green Valley Rd, Williamsburg, KY",Certified,Michael Hughes,Kentucky Highlands Investment Corporation,"Williamsburg, KY",Timber,Single Family,1094,New Construction,,"['December', '1,', '2013']",2013,December,KY,Williamsburg
199,1142,PNC SmartHome,Certified,Mark Hoberecht,,"Cleveland, OH",,Single Family,2935,New Construction,,"['December', '1,', '2012']",2012,December,OH,Cleveland
200,1089,Kiln Apartments,Certified,David Posada,Lorentz Bruun,"Portland, OR",Timber,Multifamily,13164,New Construction,,"['December', '17,', '2014']",2014,December,OR,Portland
201,1090,Yangpyeong Passive House,Certified,Bokyung Jun,HAOS,Gyeonggi-do South Korea,Insulated concrete forms,Single Family,2619,New Construction,,"['May', '21,', '2012']",2012,May,Gyeonggi-do South Korea,Gyeonggi-do South Korea
202,1092,Taccogna Residence,Certified,Dylan Lamar,"Green Hammer, Alex Boetzel, CPHC","Dundee, OR",Timber,Single Family,1119,New Construction,,"['May', '29,', '2013']",2013,May,OR,Dundee
203,1093,Newry Passive House,Certified,Jesper Kruse,maine passive house,"Newry, ME",Timber,Single Family,1955,New Construction,,"['April', '1,', '2014']",2014,April,ME,Newry
204,1094,Parsons / Empowerhouse,Certified,Laura Briggs,Habitat for Humanity of Washington DC,"Washington, DC",Timber,Single Family,969,New Construction,,"['May', '21,', '2014']",2014,May,DC,Washington
205,1096,Cape Cod House,Certified,Daniel Roy,"Dunhill Companies Osterville, Ma 02655","Falmouth, MA",Timber,Single Family,2019,New Construction,,"['April', '8,', '2014']",2014,April,MA,Falmouth
206,1097,Crane-Prado Residence,Certified,Robert Phillips,"Accent Builders, Inc.","Denver, CO",Timber,Single Family,3112,New Construction,,"['July', '2,', '2015']",2015,July,CO,Denver
207,1100,Skidmore House,Certified,Jeff Stern,Jeff Stern,"Portland, OR",Timber,Single Family,1680,New Construction,,"['July', '24,', '2013']",2013,July,OR,Portland
208,1101,Fort St. John Passive House,Certified,,BC Passive House,"Fort St. John, BC",Timber,Single Family,1890,New Construction,,"['June', '26,', '2015']",2015,June,BC,Fort St. John
209,1111,336 Rachel Carson Way,Certified,Lois B. Arena,Michael Carpenter,"Ithaca, NY",Timber,Single Family,1267,New Construction,,"['May', '1,', '2014']",2014,May,NY,Ithaca
210,1106,Blaise House,Certified,Nicholas Koch,E Green Group,"Austin , TX",Timber,Single Family,1473,Retrofit,,"['December', '1,', '2012']",2012,December,TX,Austin
211,1307,Straka Residence,Certified,Stephen Magneron,Vert Design Inc.,"Ottawa, ON",Insulated concrete forms,Single Family,2094,New Construction,,"['March', '20,', '2018']",2018,March,ON,Ottawa
212,1110,Nova Passiv Haus,Certified,Peter Henry,Dobson Building & Remodeling,"Falls Church, VA",Timber,Single Family,2502,New Construction,,"['August', '7,', '2013']",2013,August,VA,Falls Church
213,1112,Ellison Passive House,Certified,Lucien Ellison,Ellison Building Company,"Wilmington, NC",,Single Family,5045,New Construction,,"['August', '14,', '2014']",2014,August,NC,Wilmington
214,1114,Pumpkin Ridge,Certified,Skylar Swinford,"Hammer and Hand, Inc","North Plains, OR",Timber,Single Family,3050,New Construction,,"['March', '10,', '2015']",2015,March,OR,North Plains
215,1115,ecoMOD South - Abingdon,Certified,Barbara Gehrung,"Cardinal Homes, Wylliesburg, VA","Abingdon, VA",Timber,Single Family,1361,New Construction,,"['December', '2,', '2013']",2013,December,VA,Abingdon
216,1118,CAPACES Leadership Institute,Certified,Dylan Lamar,Green Hammer + CLI Staff/Volunteers,"Woodburn, OR",Mixed timber-masonry,Commercial,2257,New Construction,,"['February', '5,', '2013']",2013,February,OR,Woodburn
217,1119,Landau Residence,Certified,Jordan Goldman,,"Norwich, VT",Timber,Single Family,2700,New Construction,,"['December', '19,', '2012']",2012,December,VT,Norwich
218,1120,Aamodt Passivhaus,Certified,,Homeowners,"Carnation, WA",Timber,Single Family,1340,New Construction,,"['October', '13,', '2017']",2017,October,WA,Carnation
219,1122,Ivy City Passive Houses Block A,Certified,Barbara Gehrung,Habitat for Humanity Washington D.C.,"Washington D.C., DC",Mixed timber-masonry,Multifamily,3775,New Construction,,"['January', '6,', '2016']",2016,January,DC,Washington D.C.
220,1125,Wood Residence Guest House,Certified,Jarrod Denton,PassivWorks,"Sonoma, CA",Timber,Single Family,562,New Construction,,"['June', '17,', '2014']",2014,June,CA,Sonoma
221,1126,Wood Residence,Certified,Graham Irwin,PassivWorks,"Sonoma, CA",Timber,Single Family,3153,New Construction,,"['June', '17,', '2014']",2014,June,CA,Sonoma
222,1127,Lisuzzo Residence,Certified,Sean Williams,Hugh Lofting Timber Framing Inc,"West Chester, PA",Mixed timber-masonry,Single Family,2140,New Construction,,"['August', '4,', '2015']",2015,August,PA,West Chester
223,1129,Ivy City Passive House Block B,Certified,Barbara Gehrung,"Habitat for Humanity, Washington D.C.","Washington D.C., DC",Mixed timber-masonry,Multifamily,3747,New Construction,,"['January', '19,', '2017']",2017,January,DC,Washington D.C.
224,1133,Traveler's Rest,Certified,Lisa Farmer,MainStream Corporation,"Fort Lupton, CO",Timber,Single Family,5797,New Construction,,"['January', '20,', '2016']",2016,January,CO,Fort Lupton
225,1138,Lowell Ave 634,Certified,Prudence Ferreira,Smith-Hyder Construction,"Palo Alto, CA",Timber,Single Family,5431,New Construction,,"['July', '29,', '2014']",2014,July,CA,Palo Alto
226,1141,"63 Green Valley Rd., Williamsburg, KY",Certified,Michael Hughes,Kentucky Highlands Investment Corporation,"Williamsburg, KY",Timber,Single Family,1094,New Construction,,"['December', '1,', '2013']",2013,December,KY,Williamsburg
227,1145,"98 Green Valley Rd. Williamsburg, KY",Certified,Michael Hughes,Kentucky Highlands Investment Corporation,"Williamsburg, KY",Timber,Single Family,1094,New Construction,,"['December', '1,', '2012']",2012,December,KY,Williamsburg
228,1146,Global Sustainable Solutions,Certified,Natalie Leonard,Global Sustainable Solutions,"Waubaushene, ON, ON",Insulated concrete forms,Single Family,2725,New Construction,,"['December', '5,', '2013']",2013,December,ON,Waubaushene
229,1148,6th Street House,Certified,John Semmelhack,Latitude 38 - www.latitude38llc.com,"Charlottesville, VA",Timber,Single Family,2453,New Construction,,"['August', '7,', '2013']",2013,August,VA,Charlottesville
230,1149,Malcolm Rosenberg Hillel Center,Certified,Adam Cohen,,"Blacksburg, VA",Timber,Commercial,7243,New Construction,,"['April', '1,', '2013']",2013,April,VA,Blacksburg
231,1150,Brookfield Homes Passive House,Certified,Nathan St.Germain,Brookfield Homes,"Unicorporated Adams County, CO",Timber,Single Family,2680,New Construction,,"['August', '14,', '2013']",2013,August,CO,Unicorporated Adams County
232,1151,Whitchurch Passive Cottage,Certified,Indigo Ruth-Davis,Montpelier Construction,"Middlesex, VT",Timber,Single Family,1436,New Construction,,"['April', '13,', '2015']",2015,April,VT,Middlesex
233,1154,The Desert Passive House,Certified,Ian Schnack,,"Hereford, AZ",Timber,Single Family,2190,New Construction,,"['December', '1,', '2012']",2012,December,AZ,Hereford
234,1155,Valley Waste Management Office Building,Certified,Natalie Leonard,Roscoe Construction,"Kentville, NS",Mixed timber-masonry,Commercial,6705,New Construction,,"['September', '24,', '2013']",2013,September,NS,Kentville
